epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.234,0.90776,1.4572,0.93838,1,0.76669,0.96139,0.75032,0.832,1.98115,0.92407,0.000655367,0.000655367,0.000655367
2,128.713,0.88661,0.92765,0.94364,0.9729,0.95625,0.98262,0.78858,0.74091,1.2782,0.89424,0.00129586,0.00129586,0.00129586
3,193.925,0.9066,0.87887,0.95438,0.96843,0.95847,0.98294,0.79268,0.75606,0.77706,0.91844,0.00190995,0.00190995,0.00190995
4,259.081,0.86976,0.79052,0.94038,0.97927,0.95937,0.98856,0.79474,0.73003,0.67644,0.91239,0.0018812,0.0018812,0.0018812
5,323.61,0.85115,0.72186,0.93424,0.98723,0.96657,0.98934,0.8133,0.70953,0.60801,0.89811,0.0018416,0.0018416,0.0018416
6,388.701,0.80989,0.67175,0.9251,0.97738,0.97813,0.99131,0.79827,0.73112,0.58492,0.89865,0.001802,0.001802,0.001802
7,455.222,0.7777,0.61999,0.91425,0.98618,0.975,0.98658,0.82205,0.66588,0.51586,0.87992,0.0017624,0.0017624,0.0017624
8,521.017,0.78842,0.59107,0.90601,0.98365,0.975,0.99295,0.83476,0.65087,0.48928,0.86968,0.0017228,0.0017228,0.0017228
9,586.97,0.77727,0.57773,0.91182,0.97963,0.96875,0.99235,0.82324,0.65246,0.50271,0.89018,0.0016832,0.0016832,0.0016832
10,653.173,0.74354,0.54888,0.89717,0.98835,0.97188,0.99065,0.82177,0.6288,0.47749,0.86728,0.0016436,0.0016436,0.0016436
11,719.549,0.72609,0.53253,0.89633,0.98186,0.97813,0.99386,0.84487,0.59636,0.46187,0.87126,0.001604,0.001604,0.001604
12,786.783,0.68654,0.49424,0.88755,0.99044,0.97123,0.99378,0.82657,0.62497,0.43872,0.86446,0.0015644,0.0015644,0.0015644
13,854.84,0.71288,0.50298,0.88664,0.979,0.98438,0.99434,0.8552,0.58215,0.42422,0.8679,0.0015248,0.0015248,0.0015248
14,922.285,0.69258,0.47837,0.87899,0.99047,0.97399,0.99358,0.84811,0.57442,0.40595,0.86966,0.0014852,0.0014852,0.0014852
15,989.702,0.6892,0.46869,0.89363,0.99048,0.97531,0.99361,0.86066,0.55011,0.4058,0.85365,0.0014456,0.0014456,0.0014456
16,1058.47,0.67475,0.45602,0.88581,0.97735,0.97188,0.99326,0.86062,0.54545,0.40397,0.85815,0.001406,0.001406,0.001406
17,1127.06,0.66024,0.45632,0.88612,0.98734,0.97518,0.99378,0.85744,0.55595,0.39429,0.85818,0.0013664,0.0013664,0.0013664
18,1195.46,0.67422,0.45928,0.88534,0.99042,0.96905,0.99039,0.86407,0.55224,0.37231,0.85571,0.0013268,0.0013268,0.0013268
19,1263.02,0.65047,0.44647,0.87427,0.98687,0.97813,0.99278,0.86722,0.53805,0.36997,0.84893,0.0012872,0.0012872,0.0012872
20,1329.36,0.63443,0.43308,0.87234,0.99044,0.9716,0.99417,0.85294,0.53206,0.37444,0.84694,0.0012476,0.0012476,0.0012476
21,1395.67,0.64101,0.4382,0.87377,0.99503,0.98125,0.99466,0.87726,0.50985,0.36893,0.84117,0.001208,0.001208,0.001208
22,1462.33,0.63625,0.43442,0.8726,0.99027,0.97813,0.99411,0.86854,0.50899,0.37357,0.84764,0.0011684,0.0011684,0.0011684
23,1529.92,0.61146,0.41438,0.86835,0.99366,0.97974,0.99445,0.87038,0.5327,0.35792,0.85228,0.0011288,0.0011288,0.0011288
24,1597.86,0.6081,0.40108,0.86665,0.98493,0.9875,0.99472,0.87973,0.51708,0.33237,0.84899,0.0010892,0.0010892,0.0010892
25,1668.48,0.61406,0.39819,0.86127,0.99679,0.97114,0.99421,0.87707,0.49544,0.34,0.84379,0.0010496,0.0010496,0.0010496
26,1735.84,0.60618,0.39365,0.87113,0.99229,0.9875,0.99475,0.86775,0.53676,0.33545,0.84534,0.00101,0.00101,0.00101
27,1802.33,0.58676,0.38677,0.86102,0.98437,0.98423,0.99456,0.88499,0.48881,0.32581,0.84074,0.0009704,0.0009704,0.0009704
28,1869.07,0.57021,0.38647,0.86234,0.98602,0.9875,0.99453,0.88198,0.46817,0.31918,0.84196,0.0009308,0.0009308,0.0009308
29,1935.82,0.60864,0.3939,0.86423,0.99461,0.975,0.99451,0.89547,0.47362,0.32336,0.84109,0.0008912,0.0008912,0.0008912
30,2002.8,0.57602,0.37861,0.85693,0.99683,0.98298,0.99475,0.88813,0.47418,0.32487,0.83207,0.0008516,0.0008516,0.0008516
31,2070.52,0.57408,0.37631,0.85881,0.98923,0.99062,0.99481,0.89183,0.48194,0.31443,0.83002,0.000812,0.000812,0.000812
32,2137.52,0.56619,0.37927,0.85133,0.99059,0.98654,0.99459,0.8947,0.48521,0.31062,0.83848,0.0007724,0.0007724,0.0007724
33,2204.87,0.55154,0.35979,0.84698,0.99092,0.975,0.99447,0.89111,0.48762,0.3043,0.84141,0.0007328,0.0007328,0.0007328
34,2272.42,0.5655,0.36202,0.85847,0.98753,0.99009,0.99475,0.89096,0.46811,0.2993,0.84795,0.0006932,0.0006932,0.0006932
35,2340.81,0.55223,0.35561,0.85107,0.99626,0.98438,0.99491,0.89675,0.47406,0.30359,0.84043,0.0006536,0.0006536,0.0006536
36,2408.16,0.56688,0.36488,0.8609,0.98096,0.99375,0.99462,0.89449,0.46133,0.297,0.83073,0.000614,0.000614,0.000614
37,2475.91,0.53032,0.34156,0.85364,0.98142,0.99015,0.99472,0.90111,0.4609,0.2861,0.84747,0.0005744,0.0005744,0.0005744
38,2543.93,0.55552,0.34723,0.8517,0.99011,0.99062,0.99478,0.89642,0.45576,0.30009,0.84344,0.0005348,0.0005348,0.0005348
39,2611.63,0.52557,0.34021,0.84228,0.99372,0.98823,0.99487,0.90189,0.44141,0.28778,0.83098,0.0004952,0.0004952,0.0004952
40,2680.14,0.52372,0.33442,0.84482,0.99604,0.97813,0.99466,0.902,0.4353,0.28567,0.82429,0.0004556,0.0004556,0.0004556
41,2748.02,0.45266,0.29501,0.80748,0.99374,0.975,0.99445,0.9008,0.44517,0.29116,0.82727,0.000416,0.000416,0.000416
42,2815.53,0.43311,0.2922,0.81169,0.98684,0.98125,0.99431,0.89582,0.44353,0.28689,0.83241,0.0003764,0.0003764,0.0003764
43,2883.14,0.41736,0.27979,0.80492,0.99323,0.98125,0.99466,0.89797,0.43817,0.27673,0.8332,0.0003368,0.0003368,0.0003368
44,2951.38,0.4257,0.2801,0.80841,0.99346,0.975,0.9945,0.89702,0.4536,0.28009,0.83736,0.0002972,0.0002972,0.0002972
45,3019.44,0.40462,0.27342,0.7963,0.9892,0.99062,0.99484,0.90294,0.4465,0.28197,0.83182,0.0002576,0.0002576,0.0002576
46,3087.41,0.41208,0.26969,0.80383,0.98914,0.98438,0.99466,0.90351,0.42969,0.2723,0.82701,0.000218,0.000218,0.000218
47,3155.46,0.40513,0.26892,0.80286,0.99289,0.975,0.99444,0.90473,0.43523,0.27365,0.8277,0.0001784,0.0001784,0.0001784
