epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,616.869,2.38179,24.4888,0.84608,0.83435,0.46214,0.50375,0.1918,2.07299,5.94403,0.83711,0.000655367,0.000655367,0.000655367
2,1216.54,2.51268,3.58405,0.86009,0.65532,0.33945,0.33451,0.11779,2.60459,3.38749,0.94837,0.00129586,0.00129586,0.00129586
3,1801.73,2.53707,2.20863,0.84027,0.38645,0.38532,0.29712,0.08747,2.60839,2.97603,0.89003,0.00190995,0.00190995,0.00190995
4,2401.89,2.46812,2.18412,0.82354,0.71122,0.51376,0.56792,0.21433,2.26751,1.91884,0.84823,0.0018812,0.0018812,0.0018812
5,2999.63,2.35036,1.84498,0.82747,0.75279,0.55963,0.53817,0.20091,2.36701,1.86854,0.85634,0.0018416,0.0018416,0.0018416
6,3557.42,2.33197,1.62402,0.82541,0.72599,0.6055,0.63992,0.25698,2.38396,2.52173,0.83904,0.001802,0.001802,0.001802
7,4080.25,2.24919,1.50746,0.82402,0.79042,0.54128,0.58507,0.20218,2.36692,1.76881,0.84506,0.0017624,0.0017624,0.0017624
8,4602.52,2.4452,1.52059,0.80197,0.82617,0.66055,0.72582,0.30836,2.07499,1.49237,0.81631,0.0017228,0.0017228,0.0017228
9,5142.71,2.14611,1.45748,0.81106,0.83683,0.69725,0.77011,0.33856,2.07868,1.34877,0.81899,0.0016832,0.0016832,0.0016832
10,5705.04,2.26602,1.39565,0.82282,0.72016,0.66108,0.6815,0.28064,2.11496,1.41933,0.8115,0.0016436,0.0016436,0.0016436
11,6259.02,2.24593,1.37853,0.82119,0.90223,0.63303,0.73283,0.32833,2.02924,1.32741,0.80731,0.001604,0.001604,0.001604
12,6810.26,2.0487,1.25853,0.7733,0.82589,0.78899,0.80771,0.35525,2.00661,1.2613,0.80314,0.0015644,0.0015644,0.0015644
13,7363.55,2.0675,1.28393,0.78326,0.88842,0.68807,0.74445,0.34348,1.94697,1.22841,0.80868,0.0015248,0.0015248,0.0015248
14,7912.96,2.04921,1.23899,0.78765,0.91181,0.77064,0.80457,0.39367,1.90382,1.10291,0.79269,0.0014852,0.0014852,0.0014852
15,8469.07,2.04279,1.10094,0.7925,0.84359,0.74223,0.73838,0.37503,1.84147,1.21018,0.7907,0.0014456,0.0014456,0.0014456
16,9027.55,1.94871,1.04117,0.78102,0.9207,0.73394,0.78476,0.3676,1.99724,1.15214,0.81316,0.001406,0.001406,0.001406
17,9578.64,1.91478,1.09804,0.77628,0.90915,0.73452,0.77511,0.38279,1.89442,1.14305,0.80116,0.0013664,0.0013664,0.0013664
18,10135.2,1.95299,1.10129,0.76141,0.85984,0.76147,0.79695,0.38803,1.88431,1.12041,0.79774,0.0013268,0.0013268,0.0013268
19,10699.1,1.9225,1.022,0.78316,0.90933,0.74312,0.79347,0.41288,1.80095,1.19373,0.79172,0.0012872,0.0012872,0.0012872
20,11241.6,1.88777,0.99074,0.76097,0.86496,0.70642,0.80255,0.36747,1.89668,1.1113,0.79989,0.0012476,0.0012476,0.0012476
21,11787.5,2.03918,0.99958,0.75545,0.84261,0.73394,0.75017,0.31149,2.13777,1.14046,0.81864,0.001208,0.001208,0.001208
22,12338.1,1.9839,1.02147,0.77842,0.93168,0.75072,0.79853,0.40299,1.87384,1.08588,0.80522,0.0011684,0.0011684,0.0011684
23,12888.6,1.88253,0.90944,0.78414,0.87342,0.78899,0.77763,0.39988,1.83117,1.07284,0.79222,0.0011288,0.0011288,0.0011288
24,13440.5,1.90711,0.92789,0.77571,0.93358,0.77982,0.80842,0.42107,1.83578,1.10946,0.79241,0.0010892,0.0010892,0.0010892
25,13994.9,1.80527,0.93277,0.77249,0.93398,0.77878,0.8037,0.42401,1.8375,1.05977,0.79722,0.0010496,0.0010496,0.0010496
26,14546.9,1.85144,0.92255,0.75413,0.94367,0.76845,0.81919,0.41829,1.87688,1.09617,0.79637,0.00101,0.00101,0.00101
27,15099.8,1.86789,0.91175,0.76257,0.93254,0.76093,0.81497,0.45456,1.78632,1.01946,0.7861,0.0009704,0.0009704,0.0009704
28,15657.8,1.87481,0.9524,0.77214,0.87014,0.74312,0.80462,0.43029,1.7783,1.11821,0.78454,0.0009308,0.0009308,0.0009308
29,16208.5,1.73147,0.88144,0.76327,0.91017,0.83661,0.84083,0.43246,1.82315,0.99919,0.79071,0.0008912,0.0008912,0.0008912
30,16768.7,1.82358,0.8723,0.75258,0.90012,0.77064,0.80035,0.41694,1.78661,1.092,0.78842,0.0008516,0.0008516,0.0008516
31,17332.6,1.71601,0.84132,0.75067,0.94109,0.80734,0.83958,0.43647,1.80244,1.07403,0.79264,0.000812,0.000812,0.000812
32,17880.8,1.73486,0.81633,0.74129,0.87955,0.80395,0.80852,0.43583,1.80725,1.03507,0.79791,0.0007724,0.0007724,0.0007724
